0	314.62	249351	314.62
1	315.29	10269.4	315.29
2	314.71	5155.8	314.71
3	314.85	3347.64	314.85
4	314.98	2495.8	314.98
5	315.94	2029.03	315.94
6	315.91	1622.03	315.91
7	315.61	1539.78	315.61
8	315.31	1229.47	315.31
9	315.61	1129.73	315.61
10	315.7	1041.73	315.7
11	315.88	951.237	315.88
12	315.62	819.972	315.62
13	315.56	781.91	315.56
14	315.5	765.238	315.5
15	315.92	681.55	315.92
16	315.66	573.281	315.66
17	315.81	637.706	315.81
18	316.55	585.977	316.55
19	316.19	555.994	316.19
20	316.78	532.427	316.78
21	316.52	488.024	316.52
22	316.51	470.654	316.51
23	316.47	474.669	316.47
24	316.49	419.664	316.49
25	316.86	395.151	316.86
26	317.24	423.185	317.24
27	317.36	398.153	317.36
28	317.3	353.364	317.3
29	316.92	368.554	316.92
30	316.87	347.369	316.87
31	316.76	315.46	316.76
32	316.98	320.687	316.98
33	317.13	313.012	317.13
34	317.03	302.639	317.03
35	317.28	283.516	317.28
36	317.47	292.412	317.47
37	317.27	277.917	317.27
38	317.7	268.315	317.7
39	317.48	262.222	317.48
40	317.7	236.946	317.7
41	317.8	256.332	317.8
42	317.49	240.027	317.49
43	318.35	225.626	318.35
44	318.13	228.727	318.13
45	317.94	238.05	317.94
46	318.06	241.57	318.06
47	318.11	205.091	318.11
48	318.57	218.545	318.57
49	318.45	204.081	318.45
50	318.2	202.406	318.2
51	318.27	212.222	318.27
52	318.67	198.369	318.67
53	318.48	192.955	318.48
54	319.03	184.421	319.03
55	318.33	192.067	318.33
56	318.62	184.069	318.62
57	318.61	181.278	318.61
58	318.91	178.415	318.91
59	318.68	174.74	318.68
60	318.69	172.245	318.69
61	319.09	167.893	319.09
62	319.39	166.148	319.39
63	319.16	164.154	319.16
64	318.77	163.789	318.77
65	318.83	162.393	318.83
66	319.06	158.921	319.06
67	319	165.827	319
68	319.1	155.453	319.1
69	319.25	153.052	319.25
70	319.67	156.8	319.67
71	319.61	159.109	319.61
72	319.55	155.165	319.55
73	319.48	139.787	319.48
74	319.42	140.572	319.42
75	319.69	134.013	319.69
76	319.58	145.812	319.58
77	319.81	139.163	319.81
78	319.56	146.423	319.56
79	319.78	139.428	319.78
80	319.72	128.001	319.72
81	319.59	120.756	319.59
82	319.48	117.659	319.48
83	319.97	130.921	319.97
84	319.65	124.933	319.65
85	319.8	117.358	319.8
86	319.36	126.42	319.36
87	319.65	133.798	319.65
88	320.51	125.287	320.51
89	319.93	114.301	319.93
90	320.68	128.66	320.68
91	320.36	122.8	320.36
92	320.87	120.213	320.87
93	320.26	111.02	320.26
94	320.63	112.334	320.63
95	321.1	110.001	321.1
96	321.16	117.69	321.16
97	321.51	117.661	321.51
98	321.18	118.481	321.18
99	321.52	110.937	321.52
100	321.49	101.974	321.49
101	321.5	114.428	321.5
102	321.54	108.58	321.54
103	321.18	97.241	321.18
104	321.84	106.314	321.84
105	321.95	101.957	321.95
106	322.07	111.01	322.07
107	321.94	100.938	321.94
108	321.72	102.093	321.72
109	322.05	96.8016	322.05
110	322.27	95.8477	322.27
111	321.94	96.5241	321.94
112	321.66	98.0613	321.66
113	322.04	92.7974	322.04
114	322.19	91.778	322.19
115	322.36	90.4233	322.36
116	322.78	90.5839	322.78
117	322.86	90.2592	322.86
118	322.55	89.0336	322.55
119	322.56	88.3133	322.56
120	322.59	87.3719	322.59
121	322.73	87.3297	322.73
